evals_bought,evals_passed,funded_accounts,payouts,withdrawn,fees_paid,net_to_trader,avg_payout,largest_payout,first_payout_day,pct_time_funded,days_funded,days_in_eval,config,firm,since,years,net_per_year
31,15,15,33,28538.799999999763,6440.0,22098.799999999763,864.812121212114,2546.1199999999953,213,56.0202205882353,1219,957,fixed N=2 (trailing),apex_50k,2018,8.634920634920634,2559.2360294117375
51,20,20,24,43473.95999999986,6715.0,36758.95999999986,1811.4149999999943,13846.00000000003,206,46.3235294117647,1008,1168,fixed N=2 (fixed stop),apex_50k,2018,8.634920634920634,4257.01191176469
39,14,14,23,27061.220000000198,5360.0,21701.220000000198,1176.5747826087043,3802.600000000035,162,39.981617647058826,870,1306,pct 0.5% (trailing),apex_50k,2018,8.634920634920634,2513.1927573529642
70,21,21,42,59369.140000001215,8740.0,50629.140000001215,1413.5509523809812,10780.440000000097,167,62.408088235294116,1358,818,pct 0.5% (fixed stop),apex_50k,2018,8.634920634920634,5863.301139706024
35,12,12,27,29268.580000000264,5985.0,23283.580000000264,1084.0214814814913,3335.380000000019,213,50.299677270631626,1091,1078,walk-forward (out of sample),apex_50k,2018,8.607142857142858,2705.1462240664205
31,15,15,33,28538.799999999763,6440.0,22098.799999999763,864.812121212114,2546.1199999999953,213,56.0202205882353,1219,957,holdout: fixed 2 (out of sample),apex_50k,2018,8.634920634920634,2559.2360294117375
