trades,skipped,net_pnl,fees,gross_pnl,total_return_pct,ann_return_pct,years,win_rate_pct,avg_win,avg_loss,payoff,profit_factor,expectancy,max_dd,max_dd_pct,sharpe,sortino,mar,avg_contracts,avg_stop_pts,avg_risk_dollars,avg_bars_held,long_pnl,short_pnl,long_n,short_n,exit_stop,variant,param,path,exit_time,exit_session_end
3529,0,-159526.38,189887.38,30361.0,-319.05276,-19.664870163685453,16.22450376454483,33.380561065457634,555.2847368421052,-346.087537218205,1.6044632560461236,0.8039377778061819,-45.20441484839898,-159506.55999999965,-319.0131199999993,-1.0053741914061027,-3.9983232688532975,0.06164282573608727,40.155001416831965,5.738877869084726,331.3230376877302,1.6239727968262965,-76093.34,-83433.04000000001,1815,1714,3529,atr,0.5,adverse_first,,
3529,0,141902.12,189887.38,331789.5,283.80424,17.49232174485319,16.22450376454483,44.545196939642956,353.48100508905856,-211.4307715891671,1.671852221094432,1.34294925475751,40.21029186738453,-50292.26000000002,-100.58452000000004,0.9905248437440293,4.581905331882209,0.1739066980172812,40.155001416831965,5.738877869084726,331.3230376877302,1.0065174270331538,43175.66,98726.46,1815,1714,3529,atr,0.5,favorable_first,,
3529,0,-125414.40000000001,149188.90000000002,23774.500000000015,-250.8288,-15.459874991562607,16.22450376454483,34.51402663644092,463.62282430213475,-298.6183470359152,1.5525597435792324,0.8182681816008244,-35.53822612638141,-125591.27999999964,-251.18255999999926,-1.0934816348517684,-3.388250357832677,0.06154836144500897,31.548597336355908,11.474922074241995,402.279257580051,2.8603003683763104,-48025.95999999999,-77388.44,1815,1714,3529,atr,1.0,adverse_first,,
3529,0,-474251.9,149188.90000000002,-325063.0,-948.5038,-58.46119017043537,16.22450376454483,24.992915840181354,207.40006802721086,-248.27304873441634,0.8353708511030197,0.27835175318204136,-134.3870501558515,-474134.9,-948.2698,-5.955948229315565,-14.768818023377412,0.0616503764755931,31.548597336355908,11.474922074241995,402.279257580051,1.528194956078209,-241559.46000000002,-232692.44,1815,1714,3529,atr,1.0,favorable_first,,
3529,0,-90615.94,125411.94,34796.0,-181.23188,-11.170257200472495,16.22450376454483,34.797393029186736,474.5194951140065,-292.62315514993475,1.6216061058834232,0.8654203815840259,-25.677512043071694,-99609.37999999993,-199.21875999999986,-0.8169628635930491,-2.64884910406147,0.0560703078388426,26.520544063474073,17.211674695381127,439.0860017001984,5.5780674412014735,-31130.400000000005,-59485.53999999999,1815,1714,3529,atr,1.5,adverse_first,,
3529,0,-429891.94000000006,125411.94,-304480.00000000006,-859.7838800000002,-52.99292307964902,16.22450376454483,25.474638707849248,302.1930589543938,-266.7541825095057,1.132852186651751,0.3872373063878038,-121.81692830830265,-429624.9399999974,-859.2498799999947,-5.293465460395206,-13.13938603409088,0.06167347160950356,26.520544063474073,17.211674695381127,439.0860017001984,4.078775857183338,-195991.4,-233900.54000000004,1815,1714,3529,atr,1.5,favorable_first,,
3529,0,-55803.78000000001,107390.28,51586.499999999985,-111.60756000000002,-6.8789506058049295,16.22450376454483,35.619155568149615,492.19762927605404,-296.8733274647887,1.6579381970056983,0.9172659831145082,-15.812915840181358,-83881.00000000012,-167.76200000000023,-0.49610137245770936,-1.6906306758151826,0.04100422387551961,22.709549447435535,22.951756871635023,458.5779257580051,10.511476338906206,-15584.639999999996,-40219.14,1815,1714,3525,atr,2.0,adverse_first,3.0,1.0
3529,0,-251053.28000000003,107390.28,-143663.00000000003,-502.10656000000006,-30.947421707728658,16.22450376454483,30.94361008784358,403.5876007326008,-283.86169060320066,1.4217755128386111,0.6370861140827917,-71.1400623406064,-251040.97999999905,-502.08195999999805,-2.6382457052103208,-7.597172606955019,0.06163818693611055,22.709549447435535,22.951756871635023,458.5779257580051,9.356474922074241,-108507.64,-142545.63999999998,1815,1714,3525,atr,2.0,favorable_first,3.0,1.0
3525,4,14036.26000000001,78538.74,92575.00000000001,28.07252000000002,1.730254460006751,16.22450376454483,36.141843971631204,528.1172213500786,-292.66329631274994,1.8045215372197358,1.021306280949775,3.9819177304964564,-56998.16000000008,-113.99632000000017,0.12070003520486342,0.43057879861570925,0.015178160663491142,16.62723404255319,34.15652482269503,464.1841134751773,30.58808510638298,23592.6,-9556.340000000004,1813,1712,3480,atr,3.0,adverse_first,44.0,1.0
3525,4,-41984.24,78538.74,36554.50000000001,-83.96848,-5.1754112926088425,16.22450376454483,35.43262411347518,496.0627221777423,-290.6707293497364,1.706613952108254,0.9365381485866472,-11.91042269503546,-85620.21999999997,-171.24043999999992,-0.3803145391940144,-1.2846290235917568,0.030223067008055136,16.62723404255319,34.15652482269503,464.1841134751773,29.939858156028368,191.60000000000218,-42175.84,1813,1712,3480,atr,3.0,favorable_first,44.0,1.0
3520,9,27238.300000000003,59368.70000000001,86607.00000000001,54.47660000000001,3.3576743418832273,16.22450376454483,36.73295454545455,507.8539365815932,-282.6299236641222,1.7968866495011602,1.0432754547844636,7.73815340909091,-53139.92000000006,-106.2798400000001,0.2459844945695602,0.8625531923275099,0.03159276812877423,12.586647727272727,45.21413352272727,456.17982954545454,61.454829545454544,45342.44,-18104.139999999996,1813,1707,3359,atr,4.0,adverse_first,156.0,5.0
3520,9,9704.299999999996,59368.70000000001,69073.0,19.40859999999999,1.1962523034087067,16.22450376454483,36.50568181818182,497.85251361867705,-281.89538255033557,1.7660896362138174,1.01540276623479,2.7569034090909077,-56251.92000000006,-112.50384000000011,0.08946693758657867,0.3065960645406032,0.010632990868655733,12.586647727272727,45.21413352272727,456.17982954545454,61.19119318181818,39160.44,-29456.14,1813,1707,3360,atr,4.0,favorable_first,156.0,4.0
3529,0,16398.120000000003,69856.88,86255.0,32.796240000000004,2.0214017313533583,16.22450376454483,37.14933408897705,516.2331807780321,-297.7383137962128,1.7338486746833939,1.024831204918814,4.646676112213092,-43510.90000000078,-87.02180000000156,0.14105541181817458,0.5052432584388274,0.023228682138881546,14.772456786625106,26.40670161518844,473.31921224142815,36.27316520260697,40562.499999999985,-24164.38000000001,1815,1714,3442,pct,0.0025,adverse_first,84.0,3.0
3529,0,-72354.38,69856.88,-2497.5,-144.70876,-8.91914859770503,16.22450376454483,35.19410597903089,477.7986795491143,-291.11514648010495,1.6412704228076551,0.8913239462733309,-20.50279965996033,-76435.40000000075,-152.8708000000015,-0.6499921588099354,-2.2432465263712476,0.058344357442395425,14.772456786625106,26.40670161518844,473.31921224142815,35.5491640691414,3621.99999999999,-75976.38,1815,1714,3443,pct,0.0025,favorable_first,83.0,3.0
3529,0,33348.079999999994,33785.420000000006,67133.5,66.69615999999999,4.110828963887951,16.22450376454483,39.926324737886084,427.0445990063875,-268.0932830188679,1.5928955555978361,1.058674451810071,9.449725134599035,-20278.600000000213,-40.55720000000043,0.3423867204227179,1.1102614383450151,0.10135879606797087,7.144516860300368,52.817228676678944,447.40082176253895,138.20742419948994,21737.1,11610.979999999992,1815,1714,2787,pct,0.005,adverse_first,722.0,20.0
3529,0,30151.579999999994,33785.420000000006,63937.0,60.30315999999999,3.7167953408707386,16.22450376454483,39.897988098611506,424.9090056818182,-267.8549269212636,1.5863400780629318,1.0530725270686507,8.54394446018702,-20278.600000000213,-40.55720000000043,0.3104105506122261,1.0048132790464632,0.09164329245782991,7.144516860300368,52.817228676678944,447.40082176253895,138.17228676678945,20286.1,9865.479999999996,1815,1714,2787,pct,0.005,favorable_first,722.0,20.0
3529,0,39957.659999999974,21742.840000000004,61700.49999999998,79.91531999999994,4.92559409888626,16.22450376454483,44.063474071975065,328.59656591639873,-238.60688956433637,1.3771461776161251,1.0848339950319528,11.32265797676395,-18633.559999999845,-37.267119999999686,0.49972081517514944,1.3514923361112148,0.13216996910108164,4.597903088693681,79.22343440068008,425.5161518843865,222.74525361292152,24870.759999999987,15086.899999999994,1815,1714,1959,pct,0.0075,adverse_first,1544.0,26.0
3529,0,37179.659999999974,21742.840000000004,58922.49999999998,74.35931999999994,4.583149110698613,16.22450376454483,44.03513743270048,327.0511583011583,-238.5102987341772,1.371224471382936,1.0789280144451052,10.53546613771606,-18633.559999999845,-37.267119999999686,0.46680653818241796,1.2578415282413822,0.12298103826372017,4.597903088693681,79.22343440068008,425.5161518843865,222.6888637007651,22440.759999999987,14738.899999999994,1815,1714,1960,pct,0.0075,favorable_first,1543.0,26.0
3344,185,28132.740000000005,15730.260000000002,43863.00000000001,56.26548000000001,3.5536860747017127,15.832991101984941,46.62081339712919,254.43093008338678,-206.45662745098036,1.23236988429348,1.0763387392792916,8.412900717703351,-21374.940000000075,-42.74988000000015,0.4465313366020396,0.9947795905076708,0.08312739298219551,3.5104665071770333,96.32662978468899,416.63038277511964,275.1982655502392,19409.360000000004,8723.38,1729,1615,1268,pct,0.01,adverse_first,2049.0,27.0
3344,185,26121.240000000005,15730.260000000002,41851.50000000001,52.24248000000001,3.2995963721251953,15.832991101984941,46.59090909090909,253.34274711168163,-206.37556550951848,1.2275811164282282,1.0708686334799438,7.811375598086126,-21374.940000000075,-42.74988000000015,0.4168556896178119,0.9238102627760156,0.07718375752458682,3.5104665071770333,96.32662978468899,416.63038277511964,275.14174641148327,17688.860000000004,8432.38,1729,1615,1269,pct,0.01,favorable_first,2048.0,27.0
3529,0,37091.640000000014,4728.860000000001,41820.500000000015,74.18328000000002,4.572298855889303,16.22450376454483,50.070841598186455,151.90731182795702,-131.28750283768446,1.1570584293599184,1.1603417960720634,10.510524227826584,-5862.480000000025,-11.724960000000051,0.7569960118533504,1.1984173860315905,0.38996285325402247,1.0,250.0,500.0,337.3950127514877,22337.9,14753.740000000002,1815,1714,376,fixed,1.0,adverse_first,3118.0,35.0
3529,0,37091.640000000014,4728.860000000001,41820.500000000015,74.18328000000002,4.572298855889303,16.22450376454483,50.070841598186455,151.90731182795702,-131.28750283768446,1.1570584293599184,1.1603417960720634,10.510524227826584,-5862.480000000025,-11.724960000000051,0.7569960118533504,1.1984173860315905,0.38996285325402247,1.0,250.0,500.0,337.3950127514877,22337.9,14753.740000000002,1815,1714,376,fixed,1.0,favorable_first,3118.0,35.0
3529,0,52562.279999999984,9457.720000000001,62019.999999999985,105.12455999999996,6.479369817752276,16.22450376454483,46.67044488523661,254.67761991499694,-194.9478002125398,1.3063887852919465,1.1432637244292434,14.894383678095773,-11129.96000000005,-22.259920000000104,0.72322035508025,1.5107170921762396,0.29107785732169056,2.0,125.0,500.0,277.0487390195523,32234.79999999999,20327.47999999999,1815,1714,1132,fixed,2.0,adverse_first,2364.0,33.0
3529,0,49016.279999999984,9457.720000000001,58473.999999999985,98.03255999999996,6.042253212959836,16.22450376454483,46.61377160668745,253.03914893617022,-194.92203821656048,1.298155669063141,1.1334745624250888,13.889566449419094,-11129.96000000005,-22.259920000000104,0.67933190918143,1.4099064838974642,0.27144092220276655,2.0,125.0,500.0,277.0068007934259,29324.79999999999,19691.47999999999,1815,1714,1133,fixed,2.0,favorable_first,2363.0,33.0
3529,0,38250.700000000004,23644.300000000007,61895.000000000015,76.5014,4.715176569355384,16.22450376454483,42.306602436950975,377.1580040187543,-257.78300589390955,1.4630832731230292,1.0728798265091761,10.838962879002551,-14612.5999999997,-29.2251999999994,0.3958028650167553,1.1223696348882881,0.16133941151319683,5.0,50.0,500.0,178.19240578067442,21212.000000000004,17038.699999999997,1815,1714,2130,fixed,5.0,adverse_first,1378.0,21.0
3529,0,3305.7000000000025,23644.300000000007,26950.000000000007,6.611400000000005,0.4074947435032065,16.22450376454483,41.484839897988095,361.7409153005465,-254.85859564164645,1.419378908487693,1.0062812213200887,0.936724284499859,-31025.400000000387,-62.05080000000077,0.03547647966341562,0.09788545227965856,0.006567115065449623,5.0,50.0,500.0,177.9047888920374,5159.500000000003,-1853.8000000000065,1815,1714,2130,fixed,5.0,favorable_first,1378.0,21.0
3529,0,13421.399999999956,47288.60000000001,60709.99999999997,26.84279999999991,1.654460462369215,16.22450376454483,39.18957211674695,478.30643528561103,-301.99273066169627,1.5838342672606516,1.0207095953501777,3.8031737035987407,-25528.00000000053,-51.05600000000106,0.11824469527468785,0.38906275868594237,0.032404819460380374,10.0,25.0,500.0,102.38792859166902,20053.99999999999,-6632.600000000023,1815,1714,2859,fixed,10.0,adverse_first,656.0,14.0
3529,0,-130338.60000000003,47288.60000000001,-83050.00000000003,-260.6772000000001,-16.06688277084037,16.22450376454483,36.12921507509209,398.55686274509804,-283.27355811889976,1.4069681102314882,0.795867054367856,-36.93357891754039,-137761.59999999765,-275.5231999999953,-1.3155670482132036,-3.9327091495668003,0.05831408306393306,10.0,25.0,500.0,101.74327004817229,-39321.000000000015,-91017.60000000002,1815,1714,2859,fixed,10.0,favorable_first,656.0,14.0
