accounts,payouts,withdrawn_gross,withdrawn,fees_paid,net_to_trader,capped_payouts,config,tier,risk_basis,path
10,70,89010.19999999997,80109.17999999998,81340.0,-1230.8200000000215,20,ATR k=1 (原主口径),50k,fixed_dollar,standard
1,7,6651.520000000004,5986.368000000004,7889.0,-1902.631999999996,0,ATR k=1 (原主口径),50k,fixed_dollar,consistency
2,14,13303.040000000008,11972.736000000008,15778.0,-3805.263999999992,0,ATR k=1 (原主口径),50k,fixed_dollar,consistency
3,21,19954.560000000012,17959.104000000014,23667.0,-5707.895999999986,0,ATR k=1 (原主口径),50k,fixed_dollar,consistency
5,35,33257.60000000002,29931.84000000002,39445.0,-9513.159999999982,0,ATR k=1 (原主口径),50k,fixed_dollar,consistency
10,70,66515.20000000004,59863.68000000004,78890.0,-19026.319999999963,0,ATR k=1 (原主口径),50k,fixed_dollar,consistency
1,7,8901.019999999997,8010.917999999998,8134.0,-123.08200000000215,2,ATR k=1 (原主口径),50k,pct_balance,standard
2,14,17802.039999999994,16021.835999999996,16268.0,-246.1640000000043,4,ATR k=1 (原主口径),50k,pct_balance,standard
3,21,26703.05999999999,24032.753999999994,24402.0,-369.24600000000646,6,ATR k=1 (原主口径),50k,pct_balance,standard
5,35,44505.099999999984,40054.58999999999,40670.0,-615.4100000000108,10,ATR k=1 (原主口径),50k,pct_balance,standard
10,70,89010.19999999997,80109.17999999998,81340.0,-1230.8200000000215,20,ATR k=1 (原主口径),50k,pct_balance,standard
1,7,6651.520000000004,5986.368000000004,7889.0,-1902.631999999996,0,ATR k=1 (原主口径),50k,pct_balance,consistency
2,14,13303.040000000008,11972.736000000008,15778.0,-3805.263999999992,0,ATR k=1 (原主口径),50k,pct_balance,consistency
3,21,19954.560000000012,17959.104000000014,23667.0,-5707.895999999986,0,ATR k=1 (原主口径),50k,pct_balance,consistency
5,35,33257.60000000002,29931.84000000002,39445.0,-9513.159999999982,0,ATR k=1 (原主口径),50k,pct_balance,consistency
10,70,66515.20000000004,59863.68000000004,78890.0,-19026.319999999963,0,ATR k=1 (原主口径),50k,pct_balance,consistency
1,7,8901.019999999997,8010.917999999998,8134.0,-123.08200000000215,2,ATR k=1 (原主口径),50k,pct_mll,standard
2,14,17802.039999999994,16021.835999999996,16268.0,-246.1640000000043,4,ATR k=1 (原主口径),50k,pct_mll,standard
3,21,26703.05999999999,24032.753999999994,24402.0,-369.24600000000646,6,ATR k=1 (原主口径),50k,pct_mll,standard
5,35,44505.099999999984,40054.58999999999,40670.0,-615.4100000000108,10,ATR k=1 (原主口径),50k,pct_mll,standard
10,70,89010.19999999997,80109.17999999998,81340.0,-1230.8200000000215,20,ATR k=1 (原主口径),50k,pct_mll,standard
1,7,6651.520000000004,5986.368000000004,7889.0,-1902.631999999996,0,ATR k=1 (原主口径),50k,pct_mll,consistency
2,14,13303.040000000008,11972.736000000008,15778.0,-3805.263999999992,0,ATR k=1 (原主口径),50k,pct_mll,consistency
3,21,19954.560000000012,17959.104000000014,23667.0,-5707.895999999986,0,ATR k=1 (原主口径),50k,pct_mll,consistency
5,35,33257.60000000002,29931.84000000002,39445.0,-9513.159999999982,0,ATR k=1 (原主口径),50k,pct_mll,consistency
10,70,66515.20000000004,59863.68000000004,78890.0,-19026.319999999963,0,ATR k=1 (原主口径),50k,pct_mll,consistency
1,3,5082.880000000034,4574.592000000031,7203.0,-2628.4079999999694,0,ATR k=1 (原主口径),100k,fixed_dollar,standard
2,6,10165.760000000068,9149.184000000061,14406.0,-5256.815999999939,0,ATR k=1 (原主口径),100k,fixed_dollar,standard
3,9,15248.640000000101,13723.776000000093,21609.0,-7885.223999999907,0,ATR k=1 (原主口径),100k,fixed_dollar,standard
