year,trades,net_pnl,return_pct,win_rate,profit_factor,max_dd,avg_contracts,avg_stop_pts
2010,31,-895.3999999999997,-1.7907999999999995,19.35483870967742,0.186,-871.7999999999995,10.0,1.782258064516129
2011,68,-1666.2000000000003,-3.3324000000000007,22.058823529411764,0.33357331413486924,-1906.8000000000013,10.0,2.485294117647059
2012,107,-2533.7999999999997,-5.0676,18.69158878504673,0.3011749131226212,-2748.600000000005,10.0,2.191588785046729
2013,212,-4160.799999999999,-8.321599999999998,28.30188679245283,0.3649378796666565,-4170.2000000000135,10.0,2.080188679245283
2014,207,-3318.8,-6.6376,29.468599033816425,0.5563931884406664,-3352.000000000006,10.0,2.7705314009661834
2015,225,-3724.999999999999,-7.4499999999999975,35.55555555555556,0.6200142813424465,-4047.4000000000106,10.0,3.933333333333333
2016,252,-2456.7999999999993,-4.913599999999999,33.73015873015873,0.7597919396155582,-3308.000000000007,10.0,3.5307539682539684
2017,251,-2238.3999999999996,-4.476799999999999,33.864541832669325,0.7270044149571924,-3250.000000000009,10.0,2.9661354581673307
2018,251,-3792.0599999999986,-7.584119999999998,37.05179282868526,0.7692299266075148,-3874.860000000019,9.99601593625498,7.115537848605578
2019,252,653.2000000000008,1.3064000000000018,34.523809523809526,1.044859556349152,-2971.4000000000024,10.0,6.566468253968254
2020,253,4836.980000000003,9.673960000000006,40.71146245059288,1.161939695376681,-6542.759999999963,9.695652173913043,15.098814229249012
2021,252,1636.2599999999989,3.272519999999998,40.476190476190474,1.055823674347229,-3870.5999999999985,9.865079365079366,14.303571428571429
2022,251,519.3599999999992,1.0387199999999983,40.63745019920319,1.0131391603445081,-7143.1799999999985,9.247011952191235,22.73207171314741
2023,250,-1191.280000000003,-2.382560000000006,35.2,0.9574930581177025,-4041.060000000002,9.868,15.41
2024,252,-1720.500000000001,-3.4410000000000016,37.301587301587304,0.9552111752087799,-10604.439999999991,9.722222222222221,18.29563492063492
2025,250,-7604.140000000002,-15.208280000000004,32.4,0.8329044685585352,-10185.119999999988,8.984,24.051
2026,165,-6030.380000000001,-12.060760000000002,33.93939393939394,0.8210853235718732,-8577.16,7.466666666666667,33.06515151515151
