trades,skipped,net_pnl,fees,gross_pnl,total_return_pct,ann_return_pct,years,win_rate_pct,avg_win,avg_loss,payoff,profit_factor,expectancy,max_dd,max_dd_pct,sharpe,sortino,mar,avg_contracts,avg_stop_pts,avg_risk_dollars,avg_bars_held,long_pnl,short_pnl,long_n,short_n,exit_stop,variant,param,exit_rule,exit_time,exit_session_end
3529,0,-33687.76,45846.76000000001,12159.000000000007,-67.37552,-4.152701430982113,16.22450376454483,34.51402663644092,239.0434646962233,-140.5636953699697,1.7006060068857083,0.8962951607039346,-9.545979030886937,-34078.76000000278,-68.15752000000556,-0.5117769238403361,-1.1571526875526659,0.06092800076912678,9.695097761405497,11.474922074241995,205.41088126948145,2.8603003683763104,-13177.660000000003,-20510.1,1815,1714,3529.0,atr,1.0,trailing stop,,
3529,0,179253.24000000002,45846.76000000001,225100.00000000003,358.50648000000007,22.096606787040166,16.22450376454483,12.043071691697365,2042.0193882352942,-221.84439432989691,9.204737376409339,1.2603135905199643,50.7943440068008,-18863.96000000002,-37.72792000000004,0.810701785711996,5.2160335347456295,0.5856831435986968,9.695097761405497,11.474922074241995,205.41088126948145,61.15046755454803,130498.84,48754.400000000016,1815,1714,3101.0,atr,1.0,fixed stop,426.0,2.0
3529,0,339059.24,45846.76000000001,384906.0,678.11848,41.795945801552485,16.22450376454483,50.97761405497308,1444.6255586436905,-1306.2555722543354,1.1059287243081812,1.1500380202487968,96.07799376593935,-68799.1999999992,-137.5983999999984,0.708097913259622,0.935783007961027,0.3037531381291713,9.695097761405497,11.474922074241995,205.41088126948145,358.5293284216492,207603.34000000003,131455.9,1815,1714,,atr,1.0,no stop (6h only),3489.0,40.0
3529,0,39270.13999999999,28145.360000000008,67415.5,78.54027999999998,4.840843278771515,16.22450376454483,39.926324737886084,398.2257771469127,-246.14621698113206,1.6178423622794824,1.0752546643640521,11.127837914423347,-14189.599999999708,-28.379199999999415,0.4290624587361762,1.389750935801364,0.1705771578751908,5.951827713233211,52.817228676678944,413.0466137716067,138.20742419948994,23922.920000000002,15347.219999999987,1815,1714,2787.0,pct,0.005,trailing stop,722.0,20.0
3529,0,70612.13999999998,28145.360000000008,98757.5,141.22427999999996,8.704382090786364,16.22450376454483,40.719750637574386,571.9363952679192,-359.11111854684515,1.5926446320634084,1.0939915565368632,20.009107395862845,-27410.200000000037,-54.82040000000008,0.5320727458222066,2.2465727829488884,0.1587799813716491,5.951827713233211,52.817228676678944,413.0466137716067,234.50750920940777,50488.92,20123.21999999999,1815,1714,1610.0,pct,0.005,fixed stop,1893.0,26.0
3529,0,113506.63999999998,28145.360000000008,141652.0,227.01327999999995,13.992001437732027,16.22450376454483,50.97761405497308,577.6877932184547,-535.1177456647399,1.0795526739649288,1.122609977146189,32.16396712949844,-30945.000000000306,-61.89000000000061,0.6370831767804901,0.9152243324216648,0.2260785496482774,5.951827713233211,52.817228676678944,413.0466137716067,358.5293284216492,93881.41999999998,19625.219999999983,1815,1714,,pct,0.005,no stop (6h only),3489.0,40.0
3529,0,37091.640000000014,4728.860000000001,41820.500000000015,74.18328000000002,4.572298855889303,16.22450376454483,50.070841598186455,151.90731182795702,-131.28750283768446,1.1570584293599184,1.1603417960720634,10.510524227826584,-5862.480000000025,-11.724960000000051,0.7569960118533504,1.1984173860315905,0.38996285325402247,1.0,250.0,500.0,337.3950127514877,22337.9,14753.740000000002,1815,1714,376.0,fixed,1.0,trailing stop,3118.0,35.0
3529,0,41663.14000000001,4728.860000000001,46392.00000000001,83.32628000000001,5.135829188322647,16.22450376454483,50.72258430150184,158.3977094972067,-139.08496837262794,1.1388557034634919,1.1722551519261935,11.8059336922641,-6119.800000000032,-12.239600000000065,0.779285041181824,1.179143073179025,0.41960760060154084,1.0,250.0,500.0,348.4491357325021,28755.900000000005,12907.239999999996,1815,1714,186.0,fixed,1.0,fixed stop,3307.0,36.0
3529,0,38791.14,4728.860000000001,43520.0,77.58228,4.781796788727641,16.22450376454483,50.97761405497308,159.04604780433573,-142.96687861271678,1.1124677921742687,1.1568378948679248,10.992105412298102,-7040.800000000025,-14.08160000000005,0.6883555562029123,0.9078145300713772,0.33957766082885643,1.0,250.0,500.0,358.5293284216492,26736.4,12054.73999999999,1815,1714,,fixed,1.0,no stop (6h only),3489.0,40.0
3525,4,39396.0,34806.50000000001,74202.5,78.792,4.856358083023963,16.22450376454483,36.141843971631204,379.31412872841446,-197.17912039093736,1.9237033210025838,1.088759676124963,11.176170212765957,-18835.639999999737,-37.67127999999948,0.4466883884452942,1.3735190265194968,0.1289140714895812,7.368794326241135,34.15652482269503,326.9764539007092,30.58808510638298,34010.560000000005,5385.440000000002,1813,1712,3480.0,atr,3.0,trailing stop,44.0,1.0
