year,trades,net_pnl,return_pct,win_rate,profit_factor,max_dd,avg_contracts,avg_stop_pts
2010,31,-877.0799999999998,-1.7541599999999997,29.032258064516128,0.26540252604777365,-1018.3999999999994,2.0,125.0
2011,68,-639.2400000000005,-1.278480000000001,50.0,0.7338850681897656,-946.5200000000002,2.0,125.0
2012,107,-1034.7600000000007,-2.0695200000000016,42.05607476635514,0.7357042879473638,-1487.72,2.0,125.0
2013,212,-1014.1600000000008,-2.0283200000000017,43.867924528301884,0.8263995398773001,-1172.3199999999993,2.0,125.0
2014,207,-764.7600000000011,-1.5295200000000024,53.6231884057971,0.9074171819841458,-2142.000000000002,2.0,125.0
2015,225,1102.999999999999,2.205999999999998,50.666666666666664,1.0986011685534678,-1595.0000000000036,2.0,125.0
2016,252,3744.6399999999967,7.489279999999993,50.3968253968254,1.3852510288065838,-1828.039999999996,2.0,125.0
2017,251,1764.3199999999993,3.5286399999999984,50.99601593625498,1.1929348776988487,-1135.1599999999999,2.0,125.0
2018,251,7315.319999999998,14.630639999999996,52.58964143426295,1.3253433857002825,-2184.36,2.0,125.0
2019,252,2401.6399999999994,4.803279999999999,50.0,1.1307393487529451,-2976.2000000000007,2.0,125.0
2020,253,6122.960000000003,12.245920000000005,45.8498023715415,1.176123452329861,-5286.520000000011,2.0,125.0
2021,252,1614.6399999999976,3.2292799999999953,44.04761904761905,1.04181393286733,-8101.480000000021,2.0,125.0
2022,251,9886.32,19.77264,39.8406374501992,1.2245478299106378,-5430.6,2.0,125.0
2023,250,2170.999999999997,4.341999999999993,43.6,1.0510164756662457,-5302.479999999998,2.0,125.0
2024,252,6968.639999999999,13.93728,42.06349206349206,1.1581471432189518,-7705.799999999996,2.0,125.0
2025,250,10165.0,20.33,47.2,1.257682565499283,-4373.000000000004,2.0,125.0
2026,165,3634.799999999999,7.269599999999998,41.21212121212121,1.1176388344084853,-5537.360000000001,2.0,125.0
